1037
mrca(3,11,37,40,39,0,74,104,17,24,45,75,177,13,66,53,50,510,121,2829,256,62,303,160,134,436,141,569,72,91,180,3296,193,35,34,434,248,328,476,233,218,983,36,529,406,373,378,446,850,2237,3127,708,1274,1709,230,234,227,2730,231,353,101,48,2404,438,944,3718,487,1808,1021,971,902,742,325,302,310,20,205,88,86,61,376,564,1031,677,2797,3330,2468,2900,1548,4366,2587,1386,326,1553,258,720,107,79,163,2420,3416,848,2535,2238,3510,710,1593,1810,3098,1138,2015,2732,2010,1159,700,930,5887,2235,3167,657,673,110,157,151,133,212,348,3829,666,1265,1721,1020,585,3185,4593,1308,797,1217,1137,1462,4075,1786,2175,640,1322,795,723,2091,3107,164,219,105,95,114,139,150,236,2156,2088,4093,4466,560,1997,954,5626,4840,1171,1452,1798,764,1084,2072,732,1213,1842,2942,4138,1712,888,583,3212,4086,161,444,138,184,63,523,263,129,171,335,1057,1448,1264,922,1681,2511,3040,857,5480,1254,1780,1026,768,1674,3249,2544,1287,3917,2782,883,4222,247,288,2722,192,222,594,874,1719,754,4971,1469,3583,2164,3018,2610,1777,3034,2803,3299,2364,2056,3688,4054,745,1980,220,352,3915,475,667,1686,895,1729,2138,3147,1294,3973,1985,4398,1411,2019,928,3466,2299,2926,254,416,985,2500,344,689,409,342,582,2082,337,2938,1169,2084,3880,3739,3403,1269,1391,2619,3091,6109,2195,631,2276,287,617,279,580,390,587,361,694,784,809,1602,1967,1218,2846,1344,1257,3603,4572,763,862,2080,2584,120,592,973,1173,540,457,389,440,1387,5623,1124,2348,2642,2855,369,2375,2152,2291,3013,1324,2792,1550,3038,4762,3003,461,274,1826,3822,5199,1156,341,472,1207,306,521,516,3199,1185,1455,2327,2666,200,462,413,453,678,1791,2643,2069,2471,6152,842,1192,2109,5351,612,561,2667,894,682,2820,1210,2759,2843,1232,3690,654,307,1815,250,1659,4243,1087,1235,4877,2452,2389,3502,2402,498,947,4238,1633,1654,2793,1547,775,3388,646,647,1355,1377,1028,3568,1722,334,486,551,324,1339,660,384,3528,627,556,3811,4969,1908,5699,533,3363,887,2341,2595,1200,3797,736,879,953,1966,2857,2525,1987,2421,1916,1756,2350,978,1282,1705,2007,3176,2559,2810,317,467,595,593,5846,789,1272,3231,2287,1119,574,981,3710,4432,1511,1678,3484,3386,2488,3071,3402,2310,807,1840,3119,839,2401,1251,4069,3887,1805,1698,2245,3668,2545,3965,1316,1969,3613,2848,468,3052,4565,642,892,2197,2116,1090,1443,1191,1880,3746,4598,4751,2030,4353,387,404,955,3621,1278,625,757,3393,2910,5574,810,604,2422,2683,1083,1277,1011,2053,1006,3382,2515,3768,1353,2354,6429,2638,2263,4300,4161,4119,4363,1656,1627,2740,1389,1267,1488,2081,3522,2570,2744,3519,2777,3815,2314,4110,663,3135,3457,3156,2601,804,2319,3154,818,858,1866,2506,3515,1227,3608,3195,6188,1591,3491,5192,1666,2844,3531,4949,1108,2932,5126,1013,2360,442,3760,5769,3535,4872,2182,1992,716,1179,1409,1111,2317,1896,5466,6276,2726,4498,1161,1440,1865,2227,3359,1374,1140,1820,1240,2255,3239,4622,2445,1976,1947,3320,1936,653,3083,4279,5611,3905,5807,4421,5619,2394,730,915,1869,4114,2811,2872,2004,4499,2564,2113,2097,4873,3911,1555,3369,4575,1445,4019,2038,5202,2684,2632,5142,1837,2210,3414,1600,1320,3070,3406,5457,2119,1399,900,1174,1007,1088,1141,2763,3972,1888,3817,4960,3203,4352,2978,4146,1117,4206,1070,1696,1868,6012,1131,4230,4757,5357,1248,2575,3893,5786,1682,1359,4645,4945,2323,3616,1862,1380,1610,2036,3774,5004,3012,1279,5657,5745)	b(1999.9972602739726,2000.0027397260274)
3	2000.0036614739727
11	2000.0124087671234
37	2000.023239969863
40	2000.0295481342466
39	2000.046120958904
0	2000.0126824613699
74	2000.026740279452
104	2000.0331071753424
17	2000.0063375972602
24	2000.0207708219177
45	2000.014632980822
75	2000.029578269726
177	2000.0322250109589
13	2000.0104673232877
66	2000.020805209863
53	2000.0278275260273
50	2000.0372170794521
510	2000.0518092849316
121	2000.0379551863014
2829	2000.058127059178
256	2000.0347019945204
62	2000.0378554821918
303	2000.060186041096
160	2000.0318490258903
134	2000.0305733272603
436	2000.0506605178082
141	2000.0288488219178
569	2000.0512923835615
72	2000.039180769863
91	2000.0298790697261
180	2000.031048080685
3296	2000.0602718054795
193	2000.0366366027397
35	2000.0108586347944
34	2000.0396119854795
434	2000.051220208219
248	2000.0350210958904
328	2000.0457674246575
476	2000.0556170136986
233	2000.0422873616437
218	2000.0339334039727
983	2000.0557227643835
36	2000.014215099178
529	2000.051015238356
406	2000.0405166438356
373	2000.0526905479453
378	2000.0455780630136
446	2000.0546894520548
850	2000.0463553041095
2237	2000.0543849260273
3127	2000.0585732520549
708	2000.059334830137
1274	2000.058878758904
1709	2000.058862210959
230	2000.044654869726
234	2000.045224779315
227	2000.0404372669864
2730	2000.0566958980821
231	2000.0442548027397
353	2000.0531859534246
101	2000.0324382320548
48	2000.037426790959
2404	2000.0606043068494
438	2000.039814490411
944	2000.0580110136987
3718	2000.0594381643837
487	2000.0417685671232
1808	2000.0539687835617
1021	2000.0599678876713
971	2000.0480901643837
902	2000.048584
742	2000.0493474657535
325	2000.0427137930137
302	2000.0469755957533
310	2000.0536335683562
20	2000.04901328
205	2000.0440914367398
88	2000.0321600032876
86	2000.0459582539727
61	2000.0548066265753
376	2000.0413776046576
564	2000.0521219232876
1031	2000.0522931945206
677	2000.0437142273972
2797	2000.0574091123287
3330	2000.0602156876712
2468	2000.0572756027398
2900	2000.0560224821918
1548	2000.0581854958905
4366	2000.058158180822
2587	2000.0564304520549
1386	2000.0500477847945
326	2000.0564475365754
1553	2000.0537652432877
258	2000.0566060367398
720	2000.0463539189316
107	2000.0230579923289
79	2000.0426390303287
163	2000.030055932055
2420	2000.0535231317808
3416	2000.0571309643835
848	2000.0523542958904
2535	2000.0552804876713
2238	2000.0561022356164
3510	2000.057965660274
710	2000.045345900548
1593	2000.050758070411
1810	2000.0564559060274
3098	2000.059437758904
1138	2000.0577333506849
2015	2000.0539323742466
2732	2000.0562330547946
2010	2000.059178671233
1159	2000.049197940959
700	2000.0510517765754
930	2000.05279882863
5887	2000.06008883137
2235	2000.0564080871234
3167	2000.0572568312602
657	2000.0433915403014
673	2000.0482231463288
110	2000.0255305950684
157	2000.0406745950686
151	2000.0509259663013
133	2000.028679799178
212	2000.045828818356
348	2000.0525777145206
3829	2000.058513651507
666	2000.0516530841096
1265	2000.0506902128768
1721	2000.0521953252055
1020	2000.0486793909588
585	2000.055935389041
3185	2000.057306320548
4593	2000.0607815945204
1308	2000.0490299019177
797	2000.0595192438357
1217	2000.0519773753424
1137	2000.0560686208219
1462	2000.0553492834247
4075	2000.0583384889042
1786	2000.0550023628766
2175	2000.0563982532876
640	2000.0437201338357
1322	2000.0585341282192
795	2000.052902612082
723	2000.0549884723562
2091	2000.052719384685
3107	2000.0577747682466
164	2000.0332738361644
219	2000.0409538224658
105	2000.0232493424658
95	2000.0319130219177
114	2000.0379350273972
139	2000.0346535580823
150	2000.029914919726
236	2000.0489626539727
2156	2000.05429496
2088	2000.055017639452
4093	2000.0575120808219
4466	2000.0591206515069
560	2000.0460534136987
1997	2000.0589548356165
954	2000.049406709589
5626	2000.059750090411
4840	2000.0606383150684
1171	2000.0528106
1452	2000.0512467917808
